"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "JavaScript", "TypeScript JSX", "Dotenv", "comment", "blank", "total"
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\eslint.config.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 1, 2, 11
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\hooks\use-color-scheme.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\hooks\use-color-scheme.web.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 3, 6, 22
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\hooks\use-theme-color.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 4, 4, 22
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\index.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 3, 3, 9
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\metro.config.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 2, 3, 8
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\package-lock.json", "JSON", 0, 14803, 0, 0, 0, 0, 0, 0, 1, 14804
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\package.json", "JSON", 0, 74, 0, 0, 0, 0, 0, 0, 1, 75
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\scripts\reset-project.js", "JavaScript", 0, 0, 0, 0, 89, 0, 0, 10, 14, 113
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\server.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"c:\Users\eroro\Documents\TOKATECH\APPMVL\legendlore\tsconfig.json", "JSON with Comments", 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"Total", "-", 53, 14877, 69, 14, 2260, 281, 7, 60, 503, 18124
